1.50294E+18,1000000,8/17/17,17395.16667,date,,balance,date,balance,,
1.51695E+18,995119.1319,,,1/21/18,962919.6705,1925839.341,1/21/18,1925839.341,,
1.51696E+18,1000044.984,,,1/26/18,995119.1319,1990238.264,1/26/18,1990238.264,,
1.51723E+18,1065814.413,,,1/26/18,1000044.984,2000089.967,1/26/18,2000089.967,,
1.51723E+18,1068533.328,,,1/29/18,1065814.413,2131628.827,1/29/18,2131628.827,,
1.51723E+18,1062421.731,,,1/29/18,1068533.328,2137066.655,1/29/18,2137066.655,,
1.51723E+18,1062018.346,,,1/29/18,1062421.731,2124843.461,1/29/18,2124843.461,,
1.51723E+18,1062583.001,,,1/29/18,1062018.346,2124036.693,1/29/18,2124036.693,,
1.51723E+18,1064916.551,,,1/29/18,1062583.001,2125166.003,1/29/18,2125166.003,,
1.51723E+18,1063928.877,,,1/29/18,1064916.551,2129833.103,1/29/18,2129833.103,,
1.51725E+18,1064934.442,,,1/29/18,1063928.877,2127857.753,1/29/18,2127857.753,,
1.51726E+18,1058938.806,,,1/29/18,1064934.442,2129868.884,1/29/18,2129868.884,,
1.51726E+18,1056226.325,,,1/29/18,1058938.806,2117877.613,1/29/18,2117877.613,,
1.51727E+18,1052880.05,,,1/29/18,1056226.325,2112452.649,1/29/18,2112452.649,,
1.51727E+18,1054164.255,,,1/29/18,1052880.05,2105760.099,1/29/18,2105760.099,,
1.51727E+18,1056050.108,,,1/29/18,1054164.255,2108328.51,1/29/18,2108328.51,,
1.51727E+18,1056979.026,,,1/29/18,1056050.108,2112100.217,1/29/18,2112100.217,,
1.51748E+18,1024952.753,,,1/29/18,1056979.026,2113958.052,1/29/18,2113958.052,,
1.5175E+18,998866.172,,,2/1/18,1024952.753,2049905.506,2/1/18,2049905.506,,
1.5175E+18,981233.4267,,,2/1/18,998866.172,1997732.344,2/1/18,1997732.344,,
1.51751E+18,975488.7625,,,2/1/18,981233.4267,1962466.853,2/1/18,1962466.853,,
1.51751E+18,974242.6862,,,2/1/18,975488.7625,1950977.525,2/1/18,1950977.525,,
1.51751E+18,966556.6102,,,2/1/18,974242.6862,1948485.372,2/1/18,1948485.372,,
